PGA (g),PoE (IO Bare),PoE (IO Concrete Jacketing),PoE (LS Bare),PoE (LS Concrete Jacketing),PoE (CP Bare),PoE (CP Concrete Jacketing)
1.273273273,1,0.9999938947,1,0.9321709929,1,0.2791956657
1.275275275,1,0.9999941469,1,0.9333833011,1,0.2828128234
1.277277277,1,0.9999943889,1,0.9345769087,1,0.2864466145
1.279279279,1,0.9999946209,1,0.9357520312,1,0.2900966711
1.281281281,1,0.9999948434,1,0.9369088834,1,0.2937626213
1.283283283,1,0.9999950567,1,0.9380476795,1,0.2974440901
1.285285285,1,0.9999952613,1,0.9391686328,1,0.301140699
1.287287287,1,0.9999954575,1,0.9402719558,1,0.3048520665
1.289289289,1,0.9999956457,1,0.9413578602,1,0.308577808
1.291291291,1,0.9999958261,1,0.9424265566,1,0.3123175359
1.293293293,1,0.9999959991,1,0.943478255,1,0.3160708602
1.295295295,1,0.9999961649,1,0.944513164,1,0.3198373878
1.297297297,1,0.9999963239,1,0.9455314915,1,0.3236167236
1.299299299,1,0.9999964764,1,0.9465334441,1,0.32740847
1.301301301,1,0.9999966226,1,0.9475192274,1,0.3312122271
1.303303303,1,0.9999967628,1,0.9484890459,1,0.3350275932
1.305305305,1,0.9999968972,1,0.9494431028,1,0.3388541644
1.307307307,1,0.9999970261,1,0.9503816001,1,0.3426915353
1.309309309,1,0.9999971496,1,0.9513047389,1,0.3465392987
1.311311311,1,0.9999972681,1,0.9522127185,1,0.3503970461
1.313313313,1,0.9999973816,1,0.9531057373,1,0.3542643674
1.315315315,1,0.9999974905,1,0.9539839921,1,0.3581408516
1.317317317,1,0.9999975948,1,0.9548476787,1,0.3620260864
1.319319319,1,0.9999976949,1,0.9556969913,1,0.3659196586
1.321321321,1,0.9999977908,1,0.9565321225,1,0.3698211544
1.323323323,1,0.9999978827,1,0.957353264,1,0.3737301591
1.325325325,1,0.9999979709,1,0.9581606056,1,0.3776462576
1.327327327,1,0.9999980554,1,0.9589543358,1,0.3815690345
1.329329329,1,0.9999981364,1,0.9597346418,1,0.385498074
1.331331331,1,0.999998214,1,0.960501709,1,0.3894329603
1.333333333,1,0.9999982884,1,0.9612557214,1,0.3933732775
1.335335335,1,0.9999983598,1,0.9619968616,1,0.3973186102
1.337337337,1,0.9999984282,1,0.9627253104,1,0.4012685427
1.339339339,1,0.9999984937,1,0.9634412474,1,0.4052226603
1.341341341,1,0.9999985566,1,0.9641448502,1,0.4091805485
1.343343343,1,0.9999986168,1,0.9648362951,1,0.4131417936
1.345345345,1,0.9999986745,1,0.9655157568,1,0.4171059826
1.347347347,1,0.9999987298,1,0.9661834083,1,0.4210727035
1.349349349,1,0.9999987829,1,0.966839421,1,0.4250415455
1.351351351,1,0.9999988337,1,0.9674839647,1,0.4290120986
1.353353353,1,0.9999988824,1,0.9681172075,1,0.4329839544
1.355355355,1,0.9999989291,1,0.968739316,1,0.4369567059
1.357357357,1,0.9999989738,1,0.969350455,1,0.4409299473
1.359359359,1,0.9999990167,1,0.9699507878,1,0.444903275
1.361361361,1,0.9999990578,1,0.9705404759,1,0.4488762866
1.363363363,1,0.9999990972,1,0.9711196793,1,0.4528485819
1.365365365,1,0.999999135,1,0.9716885562,1,0.4568197625
1.367367367,1,0.9999991712,1,0.9722472632,1,0.4607894323
1.369369369,1,0.9999992058,1,0.9727959551,1,0.4647571972
1.371371371,1,0.9999992391,1,0.9733347853,1,0.4687226656
1.373373373,1,0.9999992709,1,0.9738639053,1,0.4726854479
1.375375375,1,0.9999993014,1,0.9743834651,1,0.4766451576
1.377377377,1,0.9999993307,1,0.9748936128,1,0.4806014102
1.379379379,1,0.9999993587,1,0.9753944952,1,0.4845538244
1.381381381,1,0.9999993856,1,0.975886257,1,0.4885020214
1.383383383,1,0.9999994113,1,0.9763690415,1,0.4924456254
1.385385385,1,0.999999436,1,0.9768429904,1,0.4963842634
1.387387387,1,0.9999994596,1,0.9773082436,1,0.5003175659
1.389389389,1,0.9999994822,1,0.9777649393,1,0.504245166
1.391391391,1,0.9999995039,1,0.9782132143,1,0.5081667004
1.393393393,1,0.9999995247,1,0.9786532034,1,0.5120818091
1.395395395,1,0.9999995447,1,0.9790850402,1,0.5159901354
1.397397397,1,0.9999995638,1,0.9795088562,1,0.5198913261
1.399399399,1,0.9999995821,1,0.9799247817,1,0.5237850317
1.401401401,1,0.9999995996,1,0.980332945,1,0.527670906
1.403403403,1,0.9999996164,1,0.9807334732,1,0.5315486069
1.405405405,1,0.9999996325,1,0.9811264914,1,0.5354177958
1.407407407,1,0.9999996479,1,0.9815121233,1,0.539278138
1.409409409,1,0.9999996627,1,0.9818904911,1,0.5431293027
1.411411411,1,0.9999996768,1,0.9822617152,1,0.5469709633
1.413413413,1,0.9999996904,1,0.9826259145,1,0.5508027968
1.415415415,1,0.9999997034,1,0.9829832066,1,0.5546244845
1.417417417,1,0.9999997159,1,0.9833337071,1,0.558435712
1.419419419,1,0.9999997278,1,0.9836775304,1,0.5622361689
1.421421421,1,0.9999997392,1,0.9840147892,1,0.566025549
1.423423423,1,0.9999997502,1,0.9843455947,1,0.5698035506
1.425425425,1,0.9999997607,1,0.9846700567,1,0.5735698761
1.427427427,1,0.9999997707,1,0.9849882833,1,0.5773242325
1.429429429,1,0.9999997804,1,0.9853003814,1,0.5810663312
1.431431431,1,0.9999997896,1,0.9856064561,1,0.5847958878
1.433433433,1,0.9999997984,1,0.9859066111,1,0.5885126228
1.435435435,1,0.9999998069,1,0.9862009489,1,0.592216261
1.437437437,1,0.999999815,1,0.9864895703,1,0.5959065319
1.439439439,1,0.9999998228,1,0.9867725747,1,0.5995831694
1.441441441,1,0.9999998303,1,0.9870500602,1,0.6032459124
1.443443443,1,0.9999998374,1,0.9873221233,1,0.6068945041
1.445445445,1,0.9999998442,1,0.9875888593,1,0.6105286927
1.447447447,1,0.9999998508,1,0.9878503619,1,0.6141482307
1.449449449,1,0.9999998571,1,0.9881067237,1,0.6177528759
1.451451451,1,0.9999998631,1,0.9883580356,1,0.6213423904
1.453453453,1,0.9999998688,1,0.9886043876,1,0.6249165413
1.455455455,1,0.9999998744,1,0.9888458678,1,0.6284751003
1.457457457,1,0.9999998796,1,0.9890825636,1,0.6320178442
1.459459459,1,0.9999998847,1,0.9893145605,1,0.6355445543
1.461461461,1,0.9999998896,1,0.9895419431,1,0.6390550169
1.463463463,1,0.9999998942,1,0.9897647947,1,0.642549023
1.465465465,1,0.9999998987,1,0.989983197,1,0.6460263687
1.467467467,1,0.9999999029,1,0.9901972309,1,0.6494868546
1.469469469,1,0.999999907,1,0.9904069756,1,0.6529302864
1.471471471,1,0.9999999109,1,0.9906125095,1,0.6563564745
1.473473473,1,0.9999999147,1,0.9908139095,1,0.6597652341
1.475475475,1,0.9999999183,1,0.9910112513,1,0.6631563854
1.477477477,1,0.9999999217,1,0.9912046097,1,0.6665297534
1.479479479,1,0.999999925,1,0.9913940578,1,0.6698851677
1.481481481,1,0.9999999282,1,0.9915796681,1,0.6732224629
1.483483483,1,0.9999999312,1,0.9917615116,1,0.6765414786
1.485485485,1,0.9999999341,1,0.9919396582,1,0.6798420587
1.487487487,1,0.9999999369,1,0.9921141769,1,0.6831240522
1.489489489,1,0.9999999395,1,0.9922851353,1,0.686387313
1.491491491,1,0.9999999421,1,0.9924526,1,0.6896316994
1.493493493,1,0.9999999445,1,0.9926166366,1,0.6928570746
1.495495495,1,0.9999999469,1,0.9927773096,1,0.6960633065
1.497497497,1,0.9999999491,1,0.9929346824,1,0.6992502677
1.499499499,1,0.9999999512,1,0.9930888174,1,0.7024178355
1.501501502,1,0.9999999533,1,0.9932397758,1,0.7055658917
1.503503504,1,0.9999999553,1,0.993387618,1,0.7086943228
1.505505506,1,0.9999999572,1,0.9935324034,1,0.7118030201
1.507507508,1,0.999999959,1,0.9936741902,1,0.714891879
1.50950951,1,0.9999999607,1,0.9938130359,1,0.7179607999
1.511511512,1,0.9999999623,1,0.9939489967,1,0.7210096875
1.513513514,1,0.9999999639,1,0.9940821281,1,0.7240384508
1.515515516,1,0.9999999655,1,0.9942124846,1,0.7270470036
1.517517518,1,0.9999999669,1,0.9943401197,1,0.7300352639
1.51951952,1,0.9999999683,1,0.9944650861,1,0.733003154
1.521521522,1,0.9999999696,1,0.9945874356,1,0.7359506008
1.523523524,1,0.9999999709,1,0.9947072189,1,0.7388775352
1.525525526,1,0.9999999721,1,0.994824486,1,0.7417838926
1.527527528,1,0.9999999733,1,0.994939286,1,0.7446696126
1.52952953,1,0.9999999744,1,0.9950516672,1,0.7475346387
1.531531532,1,0.9999999755,1,0.9951616769,1,0.7503789191
1.533533534,1,0.9999999766,1,0.9952693618,1,0.7532024055
1.535535536,1,0.9999999775,1,0.9953747676,1,0.7560050541
1.537537538,1,0.9999999785,1,0.9954779392,1,0.7587868249
1.53953954,1,0.9999999794,1,0.9955789208,1,0.761547682
1.541541542,1,0.9999999803,1,0.9956777557,1,0.7642875933
1.543543544,1,0.9999999811,1,0.9957744865,1,0.7670065308
1.545545546,1,0.9999999819,1,0.9958691551,1,0.7697044702
1.547547548,1,0.9999999827,1,0.9959618026,1,0.7723813909
1.54954955,1,0.9999999834,1,0.9960524693,1,0.7750372763
1.551551552,1,0.9999999841,1,0.9961411948,1,0.7776721134
1.553553554,1,0.9999999848,1,0.996228018,1,0.7802858927
1.555555556,1,0.9999999854,1,0.9963129771,1,0.7828786086
1.557557558,1,0.999999986,1,0.9963961096,1,0.7854502589
1.55955956,1,0.9999999866,1,0.9964774523,1,0.7880008448
1.561561562,1,0.9999999872,1,0.9965570414,1,0.7905303713
1.563563564,1,0.9999999877,1,0.9966349123,1,0.7930388464
