PGA (g),PoE(IO),PoE(LS),PoE(CP)
0.19019019019019018,0.4793387454976787,0.007590540089040951,2.0255366593433237e-09
0.1921921921921922,0.5035795158214456,0.00934216014013963,3.3443627665681546e-09
0.1941941941941942,0.5275563773636266,0.011414022608167911,5.456600792158395e-09
0.1961961961961962,0.5511896614261446,0.013846629351959091,8.800431904827318e-09
0.1981981981981982,0.5744057142629839,0.016682348492920284,1.4034323736302758e-08
0.20020020020020018,0.5971373283598294,0.01996497878274191,2.2136697023360174e-08
0.2022022022022022,0.6193240485996394,0.023739242269677267,3.4545520526738406e-08
0.2042042042042042,0.6409123592788456,0.028050212530293488,5.335164746303191e-08
0.2062062062062062,0.6618557598431959,0.032942688097229736,8.156365691041467e-08
0.2082082082082082,0.6821147386921744,0.03846052283627121,1.2346676342876672e-07
0.21021021021021022,0.7016566554720133,0.04464592681911289,1.851041055802835e-07
0.2122122122122122,0.7204555429656205,0.051538752626805226,2.749155042197521e-07
0.21421421421421422,0.7384918400273789,0.05917578294588411,4.045766577760708e-07
0.21621621621621623,0.7557520670412411,0.06759003574735818,5.900907462469714e-07
0.2182182182182182,0.7722284551447425,0.07681010325211257,8.531945380769611e-07
0.22022022022022023,0.7879185400035172,0.08685954029029636,1.2231522708923332e-06
0.2222222222222222,0.8028247302843996,0.09775631658277512,1.7390226801072393e-06
0.22422422422422422,0.8169538602022612,0.10951234595423837,2.4524973756647325e-06
0.22622622622622623,0.8303167346455302,0.12213310359030294,3.4314220298477547e-06
0.22822822822822822,0.8429276744536787,0.13561734024789446,4.764125161160457e-06
0.23023023023023023,0.8548040684584297,0.14995689990096583,6.564692210199411e-06
0.23223223223223222,0.8659659379364882,0.1651366447389564,8.979334539937973e-06
0.23423423423423423,0.8764355181781809,0.18113448882110222,1.2194013304452667e-05
0.23623623623623624,0.8862368609722484,0.19792153911105798,1.644348608998525e-05
0.23823823823823823,0.8953954609567585,0.21546234015287102,2.2021949053680114e-05
0.24024024024024024,0.9039379080005427,0.2337152163721809,2.9295448144096593e-05
0.24224224224224225,0.9118915670660603,0.25263270395596527,3.871622904962052e-05
0.24424424424424424,0.9192842863675743,0.27216206252847697,5.0839185975108054e-05
0.24624624624624625,0.9261441340796812,0.2922458554352382,6.634055344213373e-05
0.24824824824824826,0.9324991633701694,0.31282258639290583,8.603896239213544e-05
0.2502502502502503,0.9383772051256379,0.33382737956916614,0.00011091895143283169
0.25225225225225223,0.9438056874046711,0.3551926898200013,0.0001421569857755018
0.25425425425425424,0.9488114803869279,0.3768490298170634,0.00018114999015161082
0.25625625625625625,0.953420765381846,0.398725701121315,0.00022954634791153637
0.25825825825825827,0.9576589263118711,0.42075151686853973,0.0002892792570147343
0.2602602602602603,0.9615504619860523,0.4428555045897232,0.0003626022654362096
0.26226226226226224,0.9651189174243251,0.4649675787525766,0.00045212673466230507
0.26426426426426425,0.9683868324747751,0.4870191738351314,0.0005608609017573773
0.26626626626626626,0.9713757059798026,0.5089438300832493,0.0006922501295693746
0.2682682682682683,0.9741059737869419,0.5306777255169902,0.0008502178528875724
0.2702702702702703,0.9765969989610344,0.5521601491940427,0.0010392066478739244
0.27227227227227224,0.9788670726319055,0.5733339121732046,0.0012642187751378624
0.27427427427427425,0.9809334240014939,0.5941456940128083,0.0015308554758031816
0.27627627627627627,0.9828122381328713,0.6145463239581443,0.0018453542372564562
0.2782782782782783,0.9845186802475692,0.6344909971938567,0.0022146231933701816
0.2802802802802803,0.9860669253643553,0.6539394276424632,0.0026462717851477788
0.2822822822822823,0.9874701922197932,0.6728559397645001,0.0031486367840389586
0.28428428428428426,0.9887407805166323,0.6912095026501429,0.0037308027734512528
0.2862862862862863,0.9898901106488174,0.7089737103819431,0.004402616195722749
0.2882882882882883,0.9909287651504346,0.7261267131933191,0.005174692103104911
0.2902902902902903,0.99186653120934,0.7426511043510415,0.0060584128027578975
0.2922922922922923,0.9927124436738752,0.758533767958624,0.007065917657505934
0.29429429429429427,0.9934748280625417,0.773765693020489,0.0082100833957432
0.2962962962962963,0.9941613431615417,0.7883417591349646,0.00950449439448671
0.2982982982982983,0.9947790228636028,0.8022604991101123,0.010963402527681649
0.3003003003003003,0.9953343169635567,0.8155238436334906,0.012601676315523457
0.3023023023023023,0.9958331306818708,0.828136852888929,0.014434739267334448
0.30430430430430433,0.9962808627369801,0.8401074397141102,0.016478497477600086
0.3063063063063063,0.9966824418311405,0.8514460885456318,0.018749256708953842
0.3083083083083083,0.9970423614529436,0.8621655740160212,0.021263629373761715
0.3103103103103103,0.9973647129329939,0.8722806826618765,0.02403843200389907
0.3123123123123123,0.9976532167179201,0.8818079407847079,0.027090573972631492
0.31431431431431434,0.9979112518522787,0.8907653510858625,0.030436938399534843
0.3163163163163163,0.9981418836784038,0.8991721402825633,0.03409425632554419
0.3183183183183183,0.9983478897812361,0.9070485195107514,0.03807897538713868
0.3203203203203203,0.9985317842190141,0.9144154589379796,0.04240712434325323
0.32232232232232233,0.998695840091768,0.9212944776507677,0.047094174913040146
0.32432432432432434,0.9988421105081641,0.9277074495491556,0.05215490246478451
0.3263263263263263,0.9989724480177109,0.9336764256791134,0.05760324715427416
0.3283283283283283,0.9990885225799445,0.939223473162581,0.06345217714346675
0.3303303303303303,0.9991918381452223,0.9443705306458259,0.0697135555365945
0.33233233233233234,0.9992837479234071,0.9491392799795089,0.07639801265075358
0.33433433433433435,0.999365468417241,0.953551033667615,0.08351482519184072
0.3363363363363363,0.999438092296768,0.9576266374760611,0.09107180383537888
0.3383383383383383,0.9995026001899547,0.9613863874737109,0.09907519061665498
0.34034034034034033,0.9995598714628215,0.9648499606867951,0.10752956741758207
0.34234234234234234,0.9996106940600608,0.9680363584802101,0.11643777670102284
0.34434434434434436,0.9996557734744111,0.9709638617335601,0.12580085548961273
0.34634634634634637,0.999695740910072,0.9736499968537725,0.13561798341826392
0.3483483483483483,0.9997311607022568,0.9761115116572789,0.14588644551064944
0.35035035035035034,0.9997625370516878,0.9783643601607916,0.15660161014324842
0.35235235235235235,0.9997903201294713,0.9804236953383748,0.16775692246932944
0.35435435435435436,0.9998149116044264,0.9823038689316725,0.17934391338278965
0.3563563563563564,0.9998366696416007,0.9840184374378296,0.19135222391130574
0.35835835835835833,0.9998559134174384,0.9855801734439734,0.20376964474280856
0.36036036036036034,0.9998729271938845,0.987001081526457,0.21658217041177225
0.36236236236236236,0.9998879639906453,0.9882924179858875,0.22977406750478307
0.36436436436436437,0.9999012488918875,0.9894647137439618,0.24332795609070407
0.3663663663663664,0.9999129820208565,0.9905277997841347,0.2572249034414086
0.3683683683683684,0.9999233412132446,0.9914908345741772,0.2714445289862421
0.37037037037037035,0.9999324844176297,0.9923623329638993,0.28596511933836577
0.37237237237237236,0.9999405518489626,0.9931501961050223,0.3007637521448154
0.3743743743743744,0.9999476679188648,0.993861741991843,0.31581642744512384
0.3763763763763764,0.9999539429644567,0.9945037362704942,0.3310982051758484
0.3783783783783784,0.9999594747955152,0.9950824230109565,0.34658334743018737
0.38038038038038036,0.9999643500779936,0.995603555179285,0.3622454640726559
0.38238238238238237,0.9999686455702951,0.9960724245876413,0.3780576603177405
0.3843843843843844,0.999972429227181,0.996493891136602,0.3939926849075619
